north(m) east(m),
817143.5779 836761.4654,
817148.513 836760.6887,
817153.4481 836759.9121,
817158.3832 836759.1355,
817163.3183 836758.3588,
817168.2533 836757.5822,
817173.1884 836756.8055,
817178.1235 836756.0289,
817183.0586 836755.2522,
817187.9937 836754.4756,
817192.9288 836753.699,
817197.8638 836752.9223,
817202.7989 836752.1457,
817207.734 836751.369,
817212.6691 836750.5924,
817217.6042 836749.8158,
817222.5393 836749.0391,
817227.4743 836748.2625,
817232.4094 836747.4858,
817237.3445 836746.7092,
817242.2796 836745.9325,
817247.2147 836745.1559,
817252.1498 836744.3793,
817257.0848 836743.6026,
817262.0199 836742.826,
817266.955 836742.0493,
817271.8901 836741.2727,
817276.8252 836740.496,
817281.7603 836739.7194,
817286.6953 836738.9428,
817291.6304 836738.1661,
817296.5655 836737.3895,
817301.5006 836736.6128,
817306.4357 836735.8362,
817311.3708 836735.0596,
817316.3058 836734.2829,
817321.2409 836733.5063,
817326.176 836732.7296,
817331.1111 836731.953,
817336.0462 836731.1763,
817340.9813 836730.3997,
817345.9163 836729.6231,
817350.8514 836728.8464,
817355.7865 836728.0698,
817360.7216 836727.2931,
817365.6567 836726.5165,
817370.5918 836725.7399,
817375.5268 836724.9632,
817380.4619 836724.1866,
817385.397 836723.4099,
817390.3321 836722.6333,
817395.2672 836721.8566,
817400.2023 836721.08,
817405.1373 836720.3034,
817410.0724 836719.5267,
817415.0075 836718.7501,
817419.9426 836717.9734,
817424.8777 836717.1968,
817429.8128 836716.4201,
817434.7478 836715.6435,
817439.6829 836714.8669,
817444.618 836714.0902,
817449.5531 836713.3136,
817454.4882 836712.5369,
817459.4233 836711.7603,
817464.3583 836710.9837,
817469.2934 836710.207,
817474.2285 836709.4304,
817479.1636 836708.6537,
817484.0987 836707.8771,
817489.0338 836707.1004,
817493.9688 836706.3238,
817498.9039 836705.5472,
817503.839 836704.7705,
817508.7741 836703.9939,
817513.7092 836703.2172,
817518.6443 836702.4406,
817523.5793 836701.664,
817528.5144 836700.8873,
817533.4495 836700.1107,
817538.3846 836699.334,
817543.3197 836698.5574,
817548.2548 836697.7807,
817553.1898 836697.0041,
817558.1249 836696.2275,
817563.06 836695.4508,
817567.9951 836694.6742,
817572.9302 836693.8975,
817577.8653 836693.1209,
817582.8003 836692.3442,
817587.7354 836691.5676,
817592.6705 836690.791,
817597.6056 836690.0143,
817602.5407 836689.2377,
817607.4758 836688.461,
817612.4108 836687.6844,
817617.3459 836686.9078,
817622.281 836686.1311,
817627.2161 836685.3545,
817632.1512 836684.5778,
817637.0863 836683.8012,
817642.0213 836683.0245,
817646.9564 836682.2479,
817651.8915 836681.4713,
817656.8266 836680.6946,
817661.7617 836679.918,
817666.6968 836679.1413,
817671.6318 836678.3647,
817676.5669 836677.588,
817681.502 836676.8114,
817686.4371 836676.0348,
817691.3722 836675.2581,
817696.3073 836674.4815,
817701.2423 836673.7048,
817706.1774 836672.9282,
817711.1125 836672.1516,
817716.0476 836671.3749,
817720.9827 836670.5983,
817725.9178 836669.8216,
817730.8528 836669.045,
817735.7879 836668.2683,
817740.723 836667.4917,
817745.6581 836666.7151,
817750.5932 836665.9384,
817755.5283 836665.1618,
817760.4633 836664.3851,
817765.3984 836663.6085,
817770.3335 836662.8319,
817775.2686 836662.0552,
817780.2037 836661.2786,
817785.1388 836660.5019,
817790.0738 836659.7253,
817795.0089 836658.9486,
817799.944 836658.172,
817803.5897 836657.5086,
817807.2353 836656.8452,
817807.2353 836656.8452,
817810.5511 836656.2418,
817814.1469 836655.6755,
817817.7426 836655.1091,
817817.7426 836655.1091,
817822.1856 836654.4093,
817827.0101 836653.6494,
817831.8347 836652.8895,
817836.6592 836652.1296,
817841.4838 836651.3697,
817846.3083 836650.6099,
817851.1329 836649.85,
817855.9574 836649.0901,
817860.782 836648.3302,
817865.6065 836647.5703,
817868.3353 836647.1405,
817871.064 836646.7107,
817875.872 836645.9534,
