north(m) east(m),
822704.2908 831220.6643,
822706.0636 831216.2239,
822707.8365 831211.7835,
822709.6094 831207.3431,
822711.3823 831202.9028,
822713.1551 831198.4624,
822714.928 831194.022,
822716.7704 831189.8503,
822718.6127 831185.6786,
822720.4551 831181.5069,
822722.2974 831177.3352,
822724.1398 831173.1635,
822725.9821 831168.9917,
822727.8245 831164.82,
822729.6668 831160.6483,
822731.5092 831156.4766,
822733.3515 831152.3049,
822735.6524 831148.2295,
822737.9532 831144.1542,
822740.2541 831140.0788,
822742.5549 831136.0034,
822744.8558 831131.9281,
822747.1566 831127.8527,
822749.4575 831123.7773,
822751.7583 831119.702,
822754.0592 831115.6266,
822756.36 831111.5512,
822758.6609 831107.4759,
822760.9617 831103.4005,
822763.2626 831099.3251,
822765.5634 831095.2498,
822767.8643 831091.1744,
822770.7108 831087.1893,
822773.5573 831083.2042,
822776.4038 831079.2191,
822778.8207 831075.8355,
822781.2376 831072.4518,
822783.6545 831069.0682,
822786.5026 831066.1682,
822789.3508 831063.2681,
822792.1989 831060.3681,
822795.047 831057.468,
822798.0925 831053.6773,
822801.138 831049.8865,
822804.1835 831046.0958,
822807.229 831042.305,
822810.0764 831038.9014,
822812.9237 831035.4978,
822815.7711 831032.0941,
822818.6184 831028.6905,
822821.8266 831025.3069,
822825.0347 831021.9233,
822828.2429 831018.5397,
822831.451 831015.1561,
822834.6592 831011.7724,
822837.8673 831008.3888,
822841.0755 831005.0052,
822844.2836 831001.6216,
822847.4918 830998.238,
822851.2213 830995.1852,
822854.9508 830992.1325,
822858.6803 830989.0797,
822862.4097 830986.0269,
822866.1392 830982.9742,
822869.8687 830979.9214,
822873.5982 830976.8686,
822877.3277 830973.8159,
822881.0572 830970.7631,
822884.7867 830967.7103,
822888.5162 830964.6576,
822892.2456 830961.6048,
822895.9751 830958.552,
822899.7046 830955.4993,
822903.4341 830952.4465,
822907.3817 830949.5705,
822911.3292 830946.6944,
822915.2768 830943.8184,
822919.2243 830940.9423,
822923.435 830938.3482,
822927.6457 830935.7541,
822931.8565 830933.16,
822936.0672 830930.5659,
822940.2779 830927.9718,
822944.4886 830925.3777,
822948.2106 830923.3475,
822951.9325 830921.3174,
822955.6545 830919.2872,
822959.3764 830917.257,
822963.0402 830915.1442,
822966.7039 830913.0313,
822970.3677 830910.9185,
822974.0315 830908.8057,
822977.6952 830906.6928,
822981.359 830904.58,
822985.0555 830902.4483,
822988.752 830900.3166,
822992.4484 830898.1848,
822996.1449 830896.0531,
823000.0361 830894.3613,
823003.9272 830892.6695,
823007.8184 830890.9777,
823011.7095 830889.2859,
823015.6263 830887.4735,
823019.5431 830885.6611,
823023.4598 830883.8486,
823027.3766 830882.0362,
823031.2308 830881.6173,
823035.0849 830881.1984,
823038.4922 830880.4164,
823041.8994 830879.6344,
823045.3067 830878.8524,
823049.1608 830877.847,
823053.015 830876.8415,
823056.8691 830875.8361,
823061.0584 830874.9145,
823065.2477 830873.9928,
823068.9176 830873.004,
823072.5875 830872.0153,
823076.2573 830871.0265,
823079.9272 830870.0377,
823084.3427 830868.8481,
823088.7581 830867.6584,
823093.1736 830866.4688,
823097.589 830865.2791,
823102.1469 830864.5083,
823106.7049 830863.7374,
823111.2628 830862.9666,
823115.8208 830862.1957,
823120.3787 830861.4249,
823124.514 830860.9799,
823128.6493 830860.5349,
823132.7846 830860.0898,
823136.9199 830859.6448,
823141.0552 830859.1998,
823145.7062 830858.4601,
823150.3572 830857.7205,
823155.0082 830856.9808,
823159.6592 830856.2411,
823164.3102 830855.5015,
823168.9612 830854.7618,
823173.8981 830854.4989,
823178.8349 830854.2361,
823183.7718 830853.9732,
823188.7086 830853.7104,
823193.6455 830853.4475,
823198.5823 830853.1847,
823203.5192 830852.9218,
823208.1389 830852.9229,
823212.7586 830852.9241,
823217.3783 830852.9252,
823221.9981 830852.9264,
823226.6178 830852.9275,
823231.2375 830852.9287,
823235.8572 830852.9298,
823240.5589 830853.1366,
823245.2607 830853.3434,
823249.9624 830853.5502,
823254.6641 830853.757,
823259.3659 830853.9638,
823264.0676 830854.1706,
823268.7693 830854.3774,
823273.4711 830854.5842,
823278.1728 830854.791,
823282.8745 830854.9978,
823287.5763 830855.2046,
823292.278 830855.4114,
823296.9797 830855.6182,
823301.6815 830855.825,
823306.3832 830856.0318,
823311.3158 830855.6232,
823316.2484 830855.2146,
823321.181 830854.806,
823326.1137 830854.3973,
823331.0463 830853.9887,
823335.9789 830853.5801,
823340.9115 830853.1715,
823345.8441 830852.7629,
823350.7767 830852.3543,
823355.7094 830851.9456,
823360.642 830851.537,
823365.5746 830851.1284,
823370.5072 830850.7198,
823375.269 830849.8967,
823380.0309 830849.0736,
823384.7927 830848.2505,
823388.8286 830847.4694,
823392.8644 830846.6883,
823396.7136 830845.9433,
823400.5628 830845.1983,
823404.7597 830844.4352,
823408.9565 830843.6721,
823413.5858 830842.5021,
823418.2151 830841.332,
823422.8444 830840.162,
823427.4737 830838.9919,
823432.103 830837.8219,
823436.6312 830836.0478,
823441.1594 830834.2737,
823445.6876 830832.4996,
823450.2158 830830.7255,
823454.744 830828.9514,
823459.2722 830827.1773,
823463.8004 830825.4032,
823468.3286 830823.6291,
823472.8568 830821.855,
823477.385 830820.0809,
823481.9132 830818.3068,
823486.1782 830815.9276,
823490.4432 830813.5484,
823494.7082 830811.1692,
823498.9732 830808.79,
823503.2382 830806.4108,
823507.5032 830804.0316,
823511.7682 830801.6524,
823516.0332 830799.2732,
823520.2982 830796.894,
823524.5632 830794.5148,
823528.384 830791.3773,
823532.2049 830788.2398,
823536.0257 830785.1023,
823539.8465 830781.9648,
823543.6674 830778.8273,
823547.4882 830775.6898,
823550.5201 830773.4117,
823553.5521 830771.1336,
823556.584 830768.8555,
823559.6159 830766.5774,
823560.1037 830766.2109,
823563.0859 830763.9702,
823563.2222 830763.8678,
823565.5527 830761.8483,
823571.004 830757.1261,
823574.2447 830754.3193,
823577.4855 830751.5126,
823580.7262 830748.7058,
823583.8254 830745.1187,
823586.9246 830741.5316,
823590.0238 830737.9446,
823593.123 830734.3575,
823596.2222 830730.7704,
823599.3214 830727.1833,
823602.4206 830723.5963,
823605.5198 830720.0092,
823608.619 830716.4221,
823611.7182 830712.835,
823614.8174 830709.248,
823617.9166 830705.6609,
823621.0158 830702.0738,
823621.0158 830702.0738,
823621.286 830699.6261,
823621.286 830699.6261,
823622.0705 830696.9822,
823622.0705 830696.9822,
823622.9556 830693.9474,
823624.5995 830690.5965,
823626.2433 830687.2456,
823628.3297 830683.3889,
823630.4162 830679.5322,
823632.5026 830675.6754,
823634.589 830671.8187,
823636.1313 830668.5876,
823637.6736 830665.3565,
823639.2159 830662.1254,
823639.2159 830662.1254,
823640.8699 830659.0391,
823643.3264 830653.5187,
823644.9008 830649.6444,
823646.4752 830645.7701,
823646.4752 830645.7701,
823647.335 830643.4697,
823649.1286 830637.92,
823650.3863 830633.9139,
823651.6439 830629.9079,
823652.6498 830626.4647,
823653.3277 830624.0704,
823654.6453 830619.5307,
823655.9629 830614.991,
823657.2804 830610.4512,
823658.598 830605.9115,
823659.3844 830601.6001,
823660.1707 830597.2887,
823660.9571 830592.9772,
823661.7434 830588.6658,
823662.5298 830584.3544,
823662.8706 830579.7081,
823663.2114 830575.0617,
823663.5522 830570.4154,
823663.893 830565.769,
823663.925 830561.2299,
823663.9571 830556.6907,
823663.9891 830552.1516,
823664.0211 830547.6124,
823663.75 830543.2287,
823663.4788 830538.845,
823663.2077 830534.4613,
823662.4484 830529.9601,
823661.6892 830525.4588,
823660.9299 830520.9576,
823660.1707 830516.4563,
823659.4114 830511.9551,
823658.4963 830507.8538,
823657.5811 830503.7526,
823656.666 830499.6513,
823655.7508 830495.55,
823654.2594 830491.0759,
823652.7681 830486.6018,
823651.2767 830482.1277,
823649.7853 830477.6536,
823647.9211 830473.1456,
823646.0569 830468.6376,
823644.1927 830464.1296,
823642.3285 830459.6216,
823640.5208 830456.0513,
823638.713 830452.4811,
823636.9053 830448.9108,
823634.4197 830444.6175,
823631.934 830440.3241,
823629.4484 830436.0308,
823626.7029 830431.9295,
823623.9575 830427.8283,
823621.212 830423.727,
823618.4665 830419.6257,
823615.6847 830416.2541,
823612.9029 830412.8825,
823610.1211 830409.5108,
823607.3393 830406.1392,
823604.5575 830402.7676,
823601.4119 830399.38,
823598.2662 830395.9923,
823595.1474 830392.5509,
823592.0287 830389.1095,
823588.9099 830385.6681,
