north(m) east(m),
816093.4472 836919.4337,
816094.9319 836924.0742,
816096.4166 836928.7147,
816097.9013 836933.3553,
816099.386 836937.9958,
816100.8706 836942.6363,
816102.3553 836947.2768,
816103.84 836951.9174,
816105.3247 836956.5579,
816106.8094 836961.1984,
816108.2941 836965.8389,
816109.7788 836970.4794,
816111.2635 836975.12,
816112.7482 836979.7605,
816114.2329 836984.401,
816116.2784 836988.8455,
816118.3239 836993.29,
816120.3693 836997.7345,
816122.4148 837002.179,
816124.4603 837006.6234,
816126.5058 837011.0679,
816128.5512 837015.5124,
816130.5967 837019.9569,
816132.6422 837024.4014,
816134.6877 837028.8459,
816136.7331 837033.2904,
816138.7786 837037.7349,
816140.8241 837042.1793,
816142.8696 837046.6238,
816144.915 837051.0683,
816146.9605 837055.5128,
816149.006 837059.9573,
816151.0515 837064.4018,
816153.0969 837068.8463,
816155.1424 837073.2908,
816157.1879 837077.7352,
816159.2334 837082.1797,
816161.2788 837086.6242,
816163.3243 837091.0687,
816165.3698 837095.5132,
816167.8676 837099.7128,
816170.3655 837103.9125,
816172.8633 837108.1121,
816175.3611 837112.3118,
816177.8589 837116.5114,
816180.3568 837120.7111,
816182.8546 837124.9107,
816185.3524 837129.1104,
816187.8502 837133.31,
816190.3481 837137.5097,
816192.8459 837141.7093,
816195.3437 837145.909,
816197.8415 837150.1086,
816200.3394 837154.3083,
816202.8372 837158.5079,
816205.335 837162.7076,
816207.8328 837166.9072,
816210.3307 837171.1069,
816212.8285 837175.3065,
816215.3263 837179.5062,
816217.8241 837183.7058,
816220.322 837187.9055,
816222.8198 837192.1051,
816225.5555 837196.0433,
816228.2912 837199.9816,
816231.027 837203.9198,
816233.7627 837207.858,
816236.4984 837211.7962,
816239.2341 837215.7345,
816241.9698 837219.6727,
816244.7056 837223.6109,
816247.4413 837227.5492,
816250.177 837231.4874,
816252.9127 837235.4256,
816255.6484 837239.3638,
816258.3841 837243.3021,
816261.1199 837247.2403,
816263.8556 837251.1785,
816266.5913 837255.1168,
816269.327 837259.055,
816272.0627 837262.9932,
816274.7985 837266.9314,
816277.5342 837270.8697,
816280.2699 837274.8079,
816283.558 837278.4643,
816286.8461 837282.1207,
816290.1343 837285.7771,
816293.4224 837289.4335,
816296.7105 837293.0899,
816299.9986 837296.7463,
816303.2867 837300.4026,
816306.5749 837304.059,
816309.863 837307.7154,
816313.1511 837311.3718,
816316.4392 837315.0282,
816319.7274 837318.6846,
816323.0155 837322.341,
816326.3036 837325.9974,
816329.5917 837329.6538,
816332.8798 837333.3102,
816336.168 837336.9666,
816339.4561 837340.623,
816342.7442 837344.2793,
816346.0323 837347.9357,
816349.3204 837351.5921,
816352.6086 837355.2485,
816355.8967 837358.9049,
816359.1848 837362.5613,
816362.5518 837365.9283,
816365.9189 837369.2954,
816369.2859 837372.6624,
816372.653 837376.0295,
816376.02 837379.3965,
816379.387 837382.7635,
816382.7541 837386.1306,
816386.1211 837389.4976,
816389.4882 837392.8647,
816392.8552 837396.2317,
816396.2222 837399.5987,
816399.5893 837402.9658,
816402.9563 837406.3328,
