north(m) east(m),
816404.8154 836890.1811,
816399.8889 836890.9613,
816394.9625 836891.7414,
816390.0361 836892.5216,
816385.1097 836893.3018,
816380.1832 836894.0819,
816375.2568 836894.8621,
816370.3304 836895.6423,
816365.404 836896.4224,
816360.4775 836897.2026,
816355.5511 836897.9828,
816350.6247 836898.7629,
816345.6983 836899.5431,
816340.7719 836900.3233,
816335.8454 836901.1034,
816330.919 836901.8836,
816325.9926 836902.6638,
816321.0662 836903.444,
816316.1397 836904.2241,
816311.2133 836905.0043,
816306.2869 836905.7845,
816301.3605 836906.5646,
816296.434 836907.3448,
816291.5076 836908.125,
816286.5812 836908.9051,
816281.6548 836909.6853,
816276.7283 836910.4655,
816271.8019 836911.2456,
816266.8755 836912.0258,
816261.9491 836912.806,
816257.0227 836913.5861,
816252.0962 836914.3663,
816247.1698 836915.1465,
816242.2434 836915.9267,
816237.317 836916.7068,
816232.3905 836917.487,
816227.4641 836918.2672,
816222.5377 836919.0473,
816217.6113 836919.8275,
816212.6848 836920.6077,
816207.7584 836921.3878,
816202.832 836922.168,
816198.9683 836922.168,
816195.1045 836922.168,
816191.2408 836922.168,
816187.377 836922.168,
816182.8437 836921.5498,
816178.3103 836920.9317,
816173.777 836920.3135,
816169.2437 836919.6953,
816164.7103 836919.0772,
816160.177 836918.459,
816156.159 836917.8408,
816152.141 836917.2225,
816148.123 836916.6043,
816144.105 836915.986,
816139.7777 836914.7497,
816135.4503 836913.5133,
816131.123 836912.277,
816127.2593 836911.0408,
816123.3955 836909.8045,
816119.5318 836908.5683,
816115.668 836907.332,
816111.959 836906.25,
816108.25 836905.168,
816104.541 836904.086,
816100.832 836903.004,
816100.832 836903.004,
816098.2914 836901.8633,
816098.266 836901.8519,
816094.7284 836900.2636,
816092.1129 836899.0893,
816089.4973 836897.9149,
816089.4973 836897.9149,
816087.6307 836897.0385,
816084.6087 836895.5203,
816081.5867 836894.002,
816077.5428 836891.3232,
816073.499 836888.6444,
816069.4551 836885.9657,
816065.4113 836883.2869,
816061.3674 836880.6081,
816057.3236 836877.9293,
816053.2797 836875.2506,
816049.2359 836872.5718,
816045.192 836869.893,
816042.9934 836868.1051,
816040.7948 836866.3172,
816037.4931 836863.722,
816034.1913 836861.1269,
816030.8896 836858.5317,
816027.607 836855.6214,
816024.3245 836852.7111,
816021.0419 836849.8008,
816017.7593 836846.8905,
816014.4564 836843.5335,
816011.1535 836840.1765,
816007.8507 836836.8194,
816004.5478 836833.4624,
816001.2449 836830.1054,
815998.1573 836826.8808,
815995.0696 836823.6562,
815995.0696 836823.6562,
815993.4675 836822.0956,
815990.2443 836818.613,
815987.0212 836815.1304,
815983.798 836811.6477,
815980.5749 836808.1651,
815977.3517 836804.6825,
815974.1285 836801.1999,
815970.9054 836797.7172,
815967.6822 836794.2346,
815964.6787 836791.22,
815961.6751 836788.2055,
815958.6716 836785.1909,
815955.4463 836782.1977,
815952.221 836779.2045,
815948.9956 836776.2114,
815945.7703 836773.2182,
815942.545 836770.225,
815939.723 836767.9237,
815936.901 836765.6223,
815934.079 836763.321,
815932.0888 836759.4054,
815930.0986 836755.4898,
815927.0903 836753.3628,
815924.0819 836751.2357,
815921.0565 836749.4336,
815918.0311 836747.6315,
815915.3387 836746.0277,
815912.6463 836744.4239,
815910.123 836742.9209,
815907.5996 836741.4178,
815903.4669 836738.9561,
815899.3341 836736.4943,
815897.2582 836734.6963,
815895.1823 836732.8983,
815892.7797 836729.8002,
815890.377 836726.702,
815890.377 836726.702,
815887.496 836722.767,
815887.496 836722.767,
815884.726 836718.873,
815884.726 836718.873,
815882.405 836714.641,
815882.405 836714.641,
815880.405 836710.302,
815880.405 836710.302,
815878.744 836705.773,
815878.744 836705.773,
815877.744 836701.656,
815877.194 836699.1315,
815876.644 836696.607,
815876.309 836693.9755,
815875.974 836691.344,
815875.974 836691.344,
815875.754 836689.076,
815875.809 836686.498,
815875.864 836683.92,
815876.267 836680.1135,
815876.67 836676.307,
815877.2065 836672.874,
815877.743 836669.441,
815878.3865 836666.4365,
815879.03 836663.432,
815879.03 836663.432,
815879.8136 836660.6295,
815880.6827 836657.5216,
815881.5518 836654.4136,
815882.6756 836649.9587,
815883.7994 836645.5038,
815882.7079 836641.2402,
815881.6164 836636.9765,
815881.6164 836636.9765,
815880.856 836632.7993,
815880.3264 836630.1922,
815879.7968 836627.585,
815879.7968 836627.585,
815878.2489 836623.5929,
815876.3343 836620.0896,
815874.4196 836616.5862,
815874.4196 836616.5862,
815872.0569 836614.468,
815872.0569 836614.468,
815868.6351 836611.0461,
815866.1095 836609.2537,
815863.5838 836607.4613,
815859.5364 836605.4577,
815855.489 836603.454,
815850.673 836602.674,
815845.857 836601.894,
815842.0707 836602.3104,
815838.2843 836602.7269,
815834.498 836603.1433,
815834.498 836603.1433,
815831.2391 836604.1209,
815827.7358 836605.6689,
815824.2325 836607.2169,
815821.5439 836609.0908,
815818.8553 836610.9646,
815818.8553 836610.9646,
815816.8185 836612.757,
815816.8185 836612.757,
815813.7225 836615.6086,
815813.7225 836615.6086,
815810.8089 836619.1049,
815806.6347 836624.342,
815803.6204 836628.187,
815803.6204 836628.187,
815802.345 836629.8139,
815800.556 836632.096,
815798.813 836634.1029,
815795.9834 836637.447,
815794.332 836639.3986,
815791.0731 836642.8205,
815787.8142 836646.2423,
815787.8142 836646.2423,
815786.1445 836647.7729,
815786.1445 836647.7729,
815782.9259 836650.7233,
815780.8998 836652.2875,
815778.8737 836653.8516,
815778.8737 836653.8516,
815774.776 836656.576,
815772.2309 836657.8581,
815769.6857 836659.1402,
815769.6857 836659.1402,
815767.086 836660.4498,
815764.4046 836661.7323,
815761.7231 836663.0147,
815758.0661 836664.637,
815754.4091 836666.2592,
815754.4091 836666.2592,
815751.3857 836667.6004,
815746.8846 836669.394,
815742.3836 836671.1876,
815737.8825 836672.9812,
815733.3814 836674.7747,
815728.8804 836676.5683,
815724.3793 836678.3619,
815724.3793 836678.3619,
815720.9523 836679.7275,
815717.4965 836681.0998,
815714.0406 836682.4721,
815709.8744 836684.1265,
815705.7081 836685.7809,
815701.5419 836687.4354,
815697.3757 836689.0898,
815693.2094 836690.7442,
815689.0432 836692.3986,
815687.5403 836695.505,
815686.0373 836698.6114,
815684.5344 836701.7178,
815680.3238 836703.3674,
815676.1132 836705.0171,
815671.9026 836706.6667,
815667.692 836708.3163,
815663.4814 836709.966,
815659.2708 836711.6156,
815655.0602 836713.2652,
815650.8496 836714.9148,
815646.639 836716.5645,
815642.4284 836718.2141,
815638.7081 836719.6273,
815634.9878 836721.0404,
