north(m) east(m),
816704.046 839900.939,
816700.2739 839900.1552,
816696.5019 839899.3715,
816692.7298 839898.5877,
816688.0333 839898.2157,
816683.3367 839897.8437,
816679.5857 839898.1537,
816675.8346 839898.4637,
816672.0836 839898.7737,
816668.2396 839899.5797,
816664.3955 839900.3857,
816660.5515 839901.1917,
816657.2655 839902.2147,
816653.9794 839903.2377,
816650.6934 839904.2607,
816646.8339 839905.9813,
816642.9744 839907.7018,
816640.0294 839909.3448,
816637.0843 839910.9878,
816634.1393 839912.6308,
816631.0083 839914.8628,
816627.8772 839917.0949,
816624.7462 839919.3269,
816622.2352 839921.6054,
816619.7241 839923.8839,
816617.2596 839926.6275,
816614.7951 839929.371,
816612.3432 839932.3572,
816610.0521 839935.044,
816608.1871 839937.8252,
816606.3221 839940.6063,
816605.9616 839941.1439,
816607.4736 839943.9288,
816605.7859 839947.8668,
816604.0982 839951.8048,
816602.4104 839955.7428,
816600.7227 839959.6808,
816599.035 839963.6188,
816598.0442 839967.1401,
816597.0533 839970.6614,
816596.8749 839973.5823,
816596.6965 839976.5032,
816596.5406 839981.0388,
816596.3847 839985.5743,
816596.3695 839989.288,
816596.3543 839993.0016,
816596.3543 839993.0016,
816596.6049 839997.9034,
816597.112 840001.3966,
816597.619 840004.8897,
816598.1261 840008.3829,
816598.7527 840011.9091,
816599.3792 840015.4352,
816599.3792 840015.4352,
816600.4924 840019.8764,
816601.6457 840022.9185,
816602.799 840025.9605,
816604.6036 840029.5949,
816606.4082 840033.2292,
816608.2214 840036.3371,
816610.0346 840039.445,
816612.0244 840042.3375,
816614.0142 840045.2299,
816615.8779 840047.5515,
816617.7415 840049.873,
816619.9344 840052.2841,
816622.1273 840054.6952,
816625.2982 840057.8011,
816628.469 840060.9069,
816631.2985 840063.2098,
816634.128 840065.5126,
816636.5227 840067.0703,
816638.9174 840068.6279,
816642.1837 840070.4345,
816645.45 840072.241,
816648.5262 840073.755,
816651.6024 840075.269,
816654.6786 840076.783,
816654.6786 840076.783,
816658.6256 840078.4117,
816658.6256 840078.4117,
816662.3548 840079.7106,
816665.1867 840080.4865,
816668.0185 840081.2623,
816670.9573 840081.8497,
816673.896 840082.437,
816677.7291 840082.8818,
816681.5621 840083.3265,
816685.6282 840083.4412,
816689.6943 840083.5558,
816693.4743 840083.3621,
816697.2542 840083.1683,
816700.9113 840082.686,
816704.5683 840082.2036,
816707.4024 840081.6218,
816710.2365 840081.0399,
816712.9591 840080.3058,
816715.6816 840079.5717,
816718.2646 840078.693,
816720.8476 840077.8143,
816723.2719 840076.7976,
816725.6962 840075.7808,
816728.4772 840074.3359,
816731.2581 840072.8909,
816734.393 840070.9554,
816737.5278 840069.0199,
816739.8622 840067.3791,
816742.1965 840065.7382,
816745.5348 840063.1161,
816748.873 840060.494,
816751.6439 840058.1433,
816754.4148 840055.7925,
816757.1857 840053.4418,
816760.287 840050.4134,
816763.3883 840047.3849,
816765.8549 840044.4703,
816768.3214 840041.5556,
816770.788 840038.641,
816773.2479 840036.0024,
816775.7079 840033.3639,
816778.1678 840030.7253,
816780.6194 840026.9649,
816783.071 840023.2045,
816785.5226 840019.4441,
816787.9743 840015.6838,
816790.4259 840011.9234,
816792.8775 840008.163,
816795.3291 840004.4026,
816797.7807 840000.6422,
816799.8929 839997.4025,
816802.005 839994.1628,
816804.1743 839992.4351,
816806.3436 839990.7073,
